Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"IC","Credit to Agriculture","008","Albania","6110","Value US$","23018","Total Credit","2021","2021","million USD","4034.819455","A","Official figure"
"IC","Credit to Agriculture","008","Albania","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","64.485124","A","Official figure"
"IC","Credit to Agriculture","024","Angola","6110","Value US$","23018","Total Credit","2021","2021","million USD","7596.39278","A","Official figure"
"IC","Credit to Agriculture","024","Angola","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","493.232427","A","Official figure"
"IC","Credit to Agriculture","660","Anguilla","6110","Value US$","23018","Total Credit","2021","2021","million USD","229.02963","A","Official figure"
"IC","Credit to Agriculture","660","Anguilla","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","0.074074","A","Official figure"
"IC","Credit to Agriculture","660","Anguilla","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","0.007407","A","Official figure"
"IC","Credit to Agriculture","660","Anguilla","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.066667","A","Official figure"
"IC","Credit to Agriculture","028","Antigua and Barbuda","6110","Value US$","23018","Total Credit","2021","2021","million USD","1067.825926","A","Official figure"
"IC","Credit to Agriculture","028","Antigua and Barbuda","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","0.411111","A","Official figure"
"IC","Credit to Agriculture","028","Antigua and Barbuda","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","0.388889","A","Official figure"
"IC","Credit to Agriculture","028","Antigua and Barbuda","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.022222","A","Official figure"
"IC","Credit to Agriculture","032","Argentina","6110","Value US$","23018","Total Credit","2021","2021","million USD","49615.014059","A","Official figure"
"IC","Credit to Agriculture","032","Argentina","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","6037.889909","A","Official figure"
"IC","Credit to Agriculture","032","Argentina","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","6003.680432","A","Official figure"
"IC","Credit to Agriculture","032","Argentina","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","34.206828","A","Official figure"
"IC","Credit to Agriculture","051","Armenia","6110","Value US$","23018","Total Credit","2021","2021","million USD","7108.530835","A","Official figure"
"IC","Credit to Agriculture","051","Armenia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","421.19078","A","Official figure"
"IC","Credit to Agriculture","051","Armenia","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","421.191051","A","Official figure"
"IC","Credit to Agriculture","533","Aruba","6110","Value US$","23018","Total Credit","2021","2021","million USD","1900.782123","A","Official figure"
"IC","Credit to Agriculture","533","Aruba","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","0.614525","A","Official figure"
"IC","Credit to Agriculture","036","Australia","6110","Value US$","23018","Total Credit","2021","2021","million USD","760903.5321","A","Official figure"
"IC","Credit to Agriculture","036","Australia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","68709.154009","A","Official figure"
"IC","Credit to Agriculture","040","Austria","6110","Value US$","23018","Total Credit","2021","2021","million USD","1405604.2976","A","Official figure"
"IC","Credit to Agriculture","040","Austria","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","3544.673292","A","Official figure"
"IC","Credit to Agriculture","031","Azerbaijan","6110","Value US$","23018","Total Credit","2021","2021","million USD","10070.480157","A","Official figure"
"IC","Credit to Agriculture","031","Azerbaijan","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","348.056323","A","Official figure"
"IC","Credit to Agriculture","031","Azerbaijan","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","348.056323","A","Official figure"
"IC","Credit to Agriculture","048","Bahrain","6110","Value US$","23018","Total Credit","2021","2021","million USD","29006.117021","A","Official figure"
"IC","Credit to Agriculture","048","Bahrain","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","35.106383","A","Official figure"
"IC","Credit to Agriculture","048","Bahrain","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","35.106383","A","Official figure"
"IC","Credit to Agriculture","050","Bangladesh","6110","Value US$","23018","Total Credit","2021","2021","million USD","133850.45002","A","Official figure"
"IC","Credit to Agriculture","050","Bangladesh","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","6734.539918","A","Official figure"
"IC","Credit to Agriculture","052","Barbados","6110","Value US$","23018","Total Credit","2021","2021","million USD","2930.374989","A","Official figure"
"IC","Credit to Agriculture","052","Barbados","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","5.60352","A","Official figure"
"IC","Credit to Agriculture","052","Barbados","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","5.60352","A","Official figure"
"IC","Credit to Agriculture","052","Barbados","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","5.474627","A","Official figure"
"IC","Credit to Agriculture","052","Barbados","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.128893","A","Official figure"
"IC","Credit to Agriculture","056","Belgium","6110","Value US$","23018","Total Credit","2021","2021","million USD","284822.8373","A","Official figure"
"IC","Credit to Agriculture","056","Belgium","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","8858.726378","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23018","Total Credit","2021","2021","million USD","1156.511","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","123.4645","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","111.211","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23065","Credit to Forestry and Fishery","2021","2021","million USD","12.8855","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","122.8325","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","110.579","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23064","Credit to Forestry","2021","2021","million USD","0.632","A","Official figure"
"IC","Credit to Agriculture","084","Belize","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","12.2535","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23018","Total Credit","2021","2021","million USD","2797.231558","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","100.928944","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","100.665732","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23065","Credit to Forestry and Fishery","2021","2021","million USD","0.28128","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","100.91095","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","100.647701","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23064","Credit to Forestry","2021","2021","million USD","0.018031","A","Official figure"
"IC","Credit to Agriculture","204","Benin","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.263249","A","Official figure"
"IC","Credit to Agriculture","064","Bhutan","6110","Value US$","23018","Total Credit","2021","2021","million USD","2088.472571","A","Official figure"
"IC","Credit to Agriculture","064","Bhutan","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","89.304335","A","Official figure"
"IC","Credit to Agriculture","064","Bhutan","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","89.304276","A","Official figure"
"IC","Credit to Agriculture","068","Bolivia (Plurinational State of)","6110","Value US$","23018","Total Credit","2021","2021","million USD","32712.203485","A","Official figure"
"IC","Credit to Agriculture","068","Bolivia (Plurinational State of)","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","2595.869115","A","Official figure"
"IC","Credit to Agriculture","068","Bolivia (Plurinational State of)","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","2595.869115","A","Official figure"
"IC","Credit to Agriculture","072","Botswana","6110","Value US$","23018","Total Credit","2021","2021","million USD","6249.57751","A","Official figure"
"IC","Credit to Agriculture","072","Botswana","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","116.713405","A","Official figure"
"IC","Credit to Agriculture","072","Botswana","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","116.713844","A","Official figure"
"IC","Credit to Agriculture","076","Brazil","6110","Value US$","23018","Total Credit","2021","2021","million USD","364922.88299","A","Official figure"
"IC","Credit to Agriculture","076","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","7167.247516","A","Official figure"
"IC","Credit to Agriculture","076","Brazil","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","7432.336151","A","Official figure"
"IC","Credit to Agriculture","100","Bulgaria","6110","Value US$","23018","Total Credit","2021","2021","million USD","43266.047479","A","Official figure"
"IC","Credit to Agriculture","100","Bulgaria","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","1455.137322","A","Official figure"
"IC","Credit to Agriculture","100","Bulgaria","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","801.183154","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23018","Total Credit","2021","2021","million USD","4646.288954","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","106.951658","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","106.443796","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23065","Credit to Forestry and Fishery","2021","2021","million USD","1.208355","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","106.251291","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","105.743366","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23064","Credit to Forestry","2021","2021","million USD","0.70043","A","Official figure"
"IC","Credit to Agriculture","854","Burkina Faso","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.507925","A","Official figure"
"IC","Credit to Agriculture","108","Burundi","6110","Value US$","23018","Total Credit","2021","2021","million USD","1010.093525","A","Official figure"
"IC","Credit to Agriculture","108","Burundi","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","72.205724","A","Official figure"
"IC","Credit to Agriculture","108","Burundi","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","72.205692","A","Official figure"
"IC","Credit to Agriculture","116","Cambodia","6110","Value US$","23018","Total Credit","2021","2021","million USD","40141.647838","A","Official figure"
"IC","Credit to Agriculture","116","Cambodia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","3137.120677","A","Official figure"
"IC","Credit to Agriculture","124","Canada","6110","Value US$","23018","Total Credit","2021","2021","million USD","298085.94124","A","Official figure"
"IC","Credit to Agriculture","124","Canada","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","30310.715539","A","Official figure"
"IC","Credit to Agriculture","124","Canada","6110","Value US$","23065","Credit to Forestry and Fishery","2021","2021","million USD","2230.681493","A","Official figure"
"IC","Credit to Agriculture","124","Canada","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","28080.108933","A","Official figure"
"IC","Credit to Agriculture","188","Costa Rica","6110","Value US$","23018","Total Credit","2021","2021","million USD","27432.24118","A","Official figure"
"IC","Credit to Agriculture","188","Costa Rica","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","1009.963082","A","Official figure"
"IC","Credit to Agriculture","188","Costa Rica","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","1009.963537","A","Official figure"
"IC","Credit to Agriculture","188","Costa Rica","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","1005.193802","A","Official figure"
"IC","Credit to Agriculture","188","Costa Rica","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","4.769735","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23018","Total Credit","2021","2021","million USD","5915.75764","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","233.938229","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","232.273895","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23065","Credit to Forestry and Fishery","2021","2021","million USD","6.978875","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","228.623962","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","226.959491","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23064","Credit to Forestry","2021","2021","million USD","5.314404","A","Official figure"
"IC","Credit to Agriculture","384","Côte d'Ivoire","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","1.664471","A","Official figure"
"IC","Credit to Agriculture","203","Czechia","6110","Value US$","23018","Total Credit","2021","2021","million USD","177493.98474","A","Official figure"
"IC","Credit to Agriculture","203","Czechia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","2977.230582","A","Official figure"
"IC","Credit to Agriculture","180","Democratic Republic of the Congo","6110","Value US$","23018","Total Credit","2021","2021","million USD","4251.340361","A","Official figure"
"IC","Credit to Agriculture","180","Democratic Republic of the Congo","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","47.215981","A","Official figure"
"IC","Credit to Agriculture","180","Democratic Republic of the Congo","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","47.215946","A","Official figure"
"IC","Credit to Agriculture","212","Dominica","6110","Value US$","23018","Total Credit","2021","2021","million USD","436.951852","A","Official figure"
"IC","Credit to Agriculture","212","Dominica","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","0.588889","A","Official figure"
"IC","Credit to Agriculture","212","Dominica","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","0.5","A","Official figure"
"IC","Credit to Agriculture","212","Dominica","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.085185","A","Official figure"
"IC","Credit to Agriculture","214","Dominican Republic","6110","Value US$","23018","Total Credit","2021","2021","million USD","25097.12599","A","Official figure"
